,name,Fate,Founded,HeadQuarters,Type,TotalEmployees,CurStatus,Defunct
0,Starbucks,,"March 30, 1971; 45 years ago (1971-03-30)
Pike Place Market, Elliott Bay, Seattle, Washington, U.S.","2401 Utah Avenue South, Seattle, Washington, U.S.",Public,"191,000[4] (2014)",,
0,McDonald's,,"McDonald's:
May 15, 1940; 76 years ago (1940-05-15)
San Bernardino, California
McDonald's Corporation:
April 15, 1955; 61 years ago (1955-04-15)
Des Plaines, Illinois","Oak Brook, Illinois, U.S. (Moving to Chicago in 2018)[1]",Public,"420,000 (2015)[2]",,
0,Hewlett-Packard,Split into two companies,"January 1, 1939; 77 years ago (1939-01-01)","Palo Alto, California, United States",,"315,000 (Q2, 2015)[1]",,"November 1, 2015; 8 months ago (2015-11-01)"
0,CVS Health,,"1996; 20 years ago (1996) in Woonsocket, Rhode Island, U.S.","Woonsocket, Rhode Island, U.S.",Public,"137,800 (2015)[1]",,
0,Walgreens,,"1901; 115 years ago (1901)
Chicago, Illinois, U.S.","200 Wilmot Road, Deerfield, Illinois, United States",Subsidiary,,,
0,Amazon.com,,"July 5, 1994; 22 years ago (1994-07-05) (as Cadabra)
Seattle, Washington, United States","Seattle, Washington, United States[1][2][3]",Public,"230,800 (December 2015)[9]",,
0,Deloitte,,"1845; 171 years ago (1845)
London, U.K.","30 Rockefeller Plaza,
New York City, New York, U.S.A.","UK private company, limited by guarantee[1]","225,400 (2015)[4]",,
0,Sears,,"1886; 130 years ago (1886)
Chicago, Illinois","Hoffman Estates, Illinois, United States",Subsidiary,,,
0,Accenture,,1989,"Incorporated headquarters in Dublin, Ireland",Public company,"375,000 (2016)[6]",,
0,Nordstrom,,1901 (1901),"Seattle, Washington, United States",Public,"72,500 (2015)[5]",,
0,Verizon Wireless,,"April 4, 2000; 16 years ago (2000-04-04)
Bedminster, New Jersey, U.S.","Basking Ridge, New Jersey, United States",Subsidiary of Verizon Communications,,,
0,PwC,,"1998
(PricewaterhouseCoopers)
1849
(Price Waterhouse)
1854
(Coopers & Lybrand)[1]","London, United Kingdom[2]",Member firms have different legal structures; both UK and US firms are actually limited liability partnerships,"208,109 (2015)",,
0,Intel Corporation,,"July 18, 1968; 48 years ago (1968-07-18)","Santa Clara, California, U.S.",Public company,"107,300(2015)[1]",,
0,Kohl's,,"September 12, 1962; 53 years ago (1962-09-12)
Milwaukee, Wisconsin, U.S.","Menomonee Falls, Wisconsin, U.S.",Public,"140,000",,
0,Verizon,,"October 7, 1983; 32 years ago (1983-10-07)[1] (as Bell Atlantic)","1095 Avenue of the Americas
New York, NY, 10036[2]",Public,"177,900 (2015)[5]",,
0,Comcast,,"June 28, 1963; 53 years ago (1963-06-28)
Tupelo, Mississippi, United States","Philadelphia, Pennsylvania, United States",Public,"153,000 (Dec 2015)[7]",,
0,T-Mobile,,1990; 26 years ago (1990),"Bonn, Germany",,"36,000",,
0,J. C. Penney,,"April 14, 1902; 114 years ago (1902-04-14)
Kemmerer, Wyoming, U.S.","6501 Legacy Drive, Plano, Texas, United States",Public,"105,000 (2015)",,
0,Kroger,,"1883; 133 years ago (1883)
Cincinnati, Ohio, U.S.","Cincinnati, Ohio, U.S., United States",Public,"431,000 (FY 2015)[3]",,
0,UnitedHealth Group,,1977; 39 years ago (1977),"Minnetonka, Minnesota, U.S.",Public,"200,000 (2015)[1]",,
0,Boeing,,"Seattle, Washington, United States (July 15, 1916 (1916-07-15))[1](p6)","Chicago, Illinois[2], U.S.[1](p6)",Public company,"159,469 (February 2016)[3]",,
0,Cognizant Technology Solutions,,"January 26, 1994","Teaneck, New Jersey, United States",Public,"233,000 (2016 Q1)[1]",,
0,Dell,,"February 1, 1984; 32 years ago (1984-02-01)","Round Rock, Texas, United States[2]",Private[1],"108,800 (2013)[5]",,
0,Citi,,"June 16, 1812; 204 years ago (1812-06-16)[1]","388 Greenwich Street, Manhattan, New York, U.S.",Public,"239,000 (2015)[2]",,
0,State Farm,,"June 7, 1922; 94 years ago (1922-06-07)[1]","Bloomington, Illinois, U.S.",Mutual (main company),"65,000[2]",,
0,Lockheed Martin,,"March 15, 1995; 21 years ago (1995-03-15)","Bethesda, Maryland,
United States",Public company,"126,000 (February 2016)",,
0,Google,,"September 4, 1998; 17 years ago (1998-09-04)
Menlo Park, California[1][2]","Googleplex, Mountain View, California, U.S.[3]",Division of Alphabet Inc.,"57,100 (Q2 2015)[4]",,
0,Xerox,,"Rochester, New York, U.S.
(1906; 110 years ago (1906))","Norwalk, Connecticut, U.S.",Public,"140,800 (2015)[3]",,
0,Whole Foods Market,,"September 20, 1980; 35 years ago (1980-09-20)","Austin, Texas, United States",Public,"91,000[4]",,
0,PepsiCo,,"August 28, 1898; 117 years ago (1898-08-28)
New Bern, North Carolina, U.S.","Purchase, New York, U.S.",Public,"263,000 (2015)[1]",,
0,YMCA,,"6 June 1844; 172 years ago (1844-06-06)
London, England, U.K.","Geneva, Switzerland",,,,
0,Kaiser Permanente,,"July 21, 1945; 71 years ago (1945-07-21)","Ordway Building
Oakland, California, U.S.",Consortium of for-profit and not-for-profit entities.,"177,445 employees (2014)
17,791 physicians (2014)[2]",,
0,Capital One,,"July 27, 1994; 21 years ago (1994-07-27)
Richmond, Virginia, U.S.[1]","Tysons Corner, Virginia, United States
(McLean mailing address)[2]",Public,"45,400 (2015)[4]",,
0,Abercrombie & Fitch,,"Manhattan, New York City
(June 4, 1892; 124 years ago (1892-06-04))","New Albany, Ohio, United States",Public,"65,000 (2015)[1]",,
0,Infosys,,2 July 1981,"Electronic City , Bangalore, Karnataka, India",Public,"197,050 (June 2016)[2]",,
0,Panera Bread,,"1987; 29 years ago (1987)
Kirkwood, Missouri, U.S.","Sunset Hills, Missouri, U.S.",Public,"47,191, including 23,821 who work at least 25 hours per week (December 2015)",,
0,KPMG,,1987; 29 years ago (1987) (merger of Peat Marwick International and Klynveld Main Goerdeler),"Amstelveen, Netherlands[1]",Swiss Cooperative,"173,965 (2015)[3]",,
0,Booz Allen Hamilton,,1914; 102 years ago (1914),"Tysons Corner, Virginia, U.S.[1]",Public,"22,000 (2014)",,
0,Publix,,"Winter Haven, Florida (September 6, 1930; 85 years ago (1930-09-06))","Lakeland, Florida",Private/Employee Owned,"180,000[1] (2016)",,
0,Morgan Stanley,,1935; 81 years ago (1935),"Morgan Stanley Building, New York City, New York, United States",Public,"55,802 (2014)[1]",,
0,GE,,"April 15, 1892; 124 years ago (1892-04-15)
Schenectady, New York, United States[1]","Boston, Massachusetts, U.S.[2]",Public,"305,000 (2015)[3]",,
0,Kmart,,"


1899; 117 years ago (1899) (as SS Kresge Corporation)
1962 (as Kmart chain)
1977 (renamed Kmart Corporation)
Garden City, Michigan, U.S.


","Hoffman Estates, Illinois, U.S.",Subsidiary,,,
0,Time Warner Cable,Acquired by Charter Communications,"


1973; 43 years ago (1973)
(as Warner Cable)
1990; 26 years ago (1990) (as Time Warner Cable)


","New York, New York, U.S.",,,,"May 18, 2016; 2 months ago (2016-05-18)"
0,Fidelity Investments,,1946; 70 years ago (1946),"Boston, Massachusetts, U.S.",Private,"45,000+ (2016)",,
0,Northrop Grumman,,1994,"2980 Fairview Park Drive,
West Falls Church, Virginia, United States
(Falls Church mailing address)",Public,"65,000 (2015)[2]",,
0,Old Navy,,"March 11, 1994; 22 years ago (1994-03-11)[1]",San Francisco,Division,,,
0,Tata Consultancy Services,,1968,"Mumbai, Maharashtra, India",Public,"362,079 (June 2016)[3]",,
0,PNC Financial Services Group,,"April 10, 1845
Operational: January 28, 1852","Tower at PNC Plaza
Pittsburgh, Pennsylvania, United States",Public,"52,500 (2016)[1]",,
0,Forever 21,,1984; 32 years ago (1984),"Los Angeles, California, U.S.",Private,"30,000 (2012)[2]",,
0,American Express,,"1850; 166 years ago (1850)
Buffalo, New York, United States","Three World Financial Center, New York City, New York, United States",Public,"54,000 (2015)[5]",,
0,Qualcomm,,"San Diego, California, U.S.
(1985; 31 years ago (1985))","San Diego, California, U.S.",Public,"33,000 (2015)[3]",,
0,Northwestern Mutual,,1857,"Milwaukee, Wisconsin",Private (Mutual),"5,500 (2015)",,
0,Computer Sciences Corp,,April 1959,"Tysons Corner, Virginia, United States",Public,"56,000 (2016)",,
0,Costco Wholesale,,"July 12, 1976; 40 years ago (1976-07-12) (as Price Club)
San Diego, California, U.S.
September 15, 1983; 32 years ago (1983-09-15) (as Costco)
Seattle, Washington, U.S.","Issaquah, Washington, United States",Public company,"117,000[3] (2015)",,
0,Thomson Reuters,,"17 April 2008 (2008-04-17) (Toronto, Ontario, Canada)","


3 Times Square, New York, New York, United States (operations)
333 Bay Street, Suite 400, Toronto, Ontario, Canada (legal domicile)


",Public,"53,000 (Q1, 2015)[4]",,
0,Sam's Club,,"April 7, 1983; 33 years ago (1983-04-07)
Midwest City, Oklahoma, U.S.","Bentonville, Arkansas, U.S.",Subsidiary,,,
0,Office Depot,,October 1986; 29 years ago (1986-10),"Boca Raton, Florida, United States",Public,"56,000 (2015)[2]",,
0,Ross Stores,,"1950; 66 years ago (1950)
Pacifica, California, U.S.","Dublin, California, U.S.","Public
S&P 500 Component
NASDAQ-100 Component","57,500 (January 2013) [3]",,
0,GameStop,,"1984; 32 years ago (1984) (as Babbage's)
Dallas, Texas, U.S.","Grapevine, Texas, U.S.",Public,"20,000 full-time (2016)[3]",,
0,Coca-Cola Company,,"May 8, 1886; 130 years ago (1886-05-08)
Atlanta, Georgia, U.S.","One Coca-Cola Plaza,
Atlanta, Georgia, United States",Public,"123,200 (2016)[1]",,
0,Allstate,,"April 17, 1931; 85 years ago (1931-04-17)[1]","Northfield Township, Illinois, U.S.",Public,"40,200 (May 2015)[4]",,
0,Dillard's,,1938; 78 years ago (1938),"Little Rock, Arkansas, U.S.",Public,"21,600 (January 2016)[3]",,
0,Pizza Hut,,"June 15, 1958; 58 years ago (1958-06-15)
Wichita, Kansas, U.S.","7100 Corporate Drive
Plano, TX 75024, U.S.[1]",Wholly owned subsidiary,"160,000+[citation needed]",,
0,Liberty Mutual Insurance,,1912; 104 years ago (1912),"175 Berkeley Street, Boston, Massachusetts, United States",Mutual," Over 50,000 (2013)[1]",,
0,PetSmart,,"1986; 30 years ago (1986)
August 4, 1987; 28 years ago (1987-08-04) (as PetFood Warehouse)
1989; 27 years ago (1989) (as PetSmart)
Phoenix, Arizona, U.S.",,Private,"53,000+[2]",,
0,Convergys,,1998 (1998),"Cincinnati, Ohio, United States",Public,"130,000[1] (2015)",,
0,RadioShack,,"1921; 95 years ago (1921)
Boston, Massachusetts, United States","Fort Worth, Texas, United States",Private,"27,500 (2013)[2]",,
0,Raytheon,,"Cambridge, Massachusetts, United States (1922)","Waltham, Massachusetts,
United States",Public,"61,000 (February 2016)[4]",,
0,Chick-fil-A,,"May 23, 1946; 70 years ago (1946-05-23) (as Dwarf House)
Atlanta, Georgia, U.S.","College Park, Georgia, United States",Privately held company,,,
0,FedEx,,"1971; 45 years ago (1971)
(as Federal Express Corporation)
Little Rock, Arkansas","Memphis, Tennessee, U.S.",Public,"300,000 (2012)",,
0,Barnes & Noble,,"1886; 130 years ago (1886) (first book store opened)
New York City, New York, U.S.","122 5th Ave
Manhattan, New York City, U.S.",Public,"33,000 (2016)",,
0,Intuit,,"1983; 33 years ago (1983)
Palo Alto, California, US","Mountain View, California, U.S.",Public,"7,700 (2015)[2]",,
0,Goldman Sachs,,1869; 147 years ago (1869),"200 West Street, New York, New York, U.S.",Public,"36,500 (2016)[1]",,
0,Rite Aid,,"September 12, 1962; 53 years ago (1962-09-12) (as Thrift D Discount Center)
1968; 48 years ago (1968) (as Rite Aid Corporation)
Scranton, Pennsylvania, U.S.","East Pennsboro Township, Cumberland County, Pennsylvania, United States","Public
(Acquisition by Walgreens Boots Alliance pending)","89,346 (2014)",,
0,Honeywell,,"1906, Wabash, Indiana","Morris Plains, New Jersey, United States",Public,"129,000 (2015)[1]",,
0,Yahoo,,"January 1994; 22 years ago (1994-01) (as Jerry and David's guide to the World Wide Web)
March 2, 1995; 21 years ago (1995-03-02)
(as Yahoo!)","Sunnyvale, California, U.S.",Public,"12,500 (as of 2015[update])[citation needed]",,
0,Ulta Beauty,,1990 (1990),"Bolingbrook, Illinois",Public,"19,000+[2]",,
0,GEICO,,"Fort Worth, Texas, U.S.
(1936; 80 years ago (1936))","Chevy Chase, Maryland, U.S.",Subsidiary,"30,000[2]",,
0,BNY Mellon,,"July 1, 2007; 9 years ago (2007-07-01)","225 Liberty Street, Manhattan, New York 10281, United States",Public,"51,200 (Dec 2015)[1]",,
0,Bath & Body Works,,"1990; 26 years ago (1990)
New Albany, Ohio, U.S.","Columbus, Ohio, U.S.",Subsidiary,,,
0,Michaels Stores,,"1976; 40 years ago (1976)
Dallas, Texas, U.S.","Irving, Texas, U.S.",Public,"43,700",,
0,Aerotek,,1983,"Hanover, Maryland, U.S.",Private,"10,000 internal employees (2011), 90,000 contractors (2011)",,
0,American Eagle Outfitters,,1977; 39 years ago (1977),"77 Hot Metal Street Southside Works, Pittsburgh, Pennsylvania, U.S.",Public,"39,600 (Jan 2012)[1]",,
0,NIKE,,"January 25, 1964; 52 years ago (1964-01-25)
(as Blue Ribbon Sports)[1]
1971 (as Nike, Inc.)","Washington County, Oregon, United States
(Near Beaverton, Oregon)",Public,"62,600 (2015)[2]",,
0,Kelly Services,,1946,"Troy, Michigan, United States",Public (NASDAQ: KELYA),"8,200 (2012)",,
0,Procter & Gamble,,"Cincinnati, Ohio, United States (October 31, 1837; 178 years ago (1837-10-31))","1 P&G Plaza, Cincinnati, Ohio, United States",Public,"110,000[1] (2015)",,
0,Burger King,,"Insta-Burger King:

1953; 63 years ago (1953)

Jacksonville, Florida

Burger King:

1954; 62 years ago (1954)
Miami, Florida","5505 Blue Lagoon Drive, Miami-Dade County, Florida, United States",Subsidiary,"34,248 (FY 2015 RBI)",,
0,TEKsystems,,1983,"Hanover, Maryland, U.S.",Private,"10,000 internal employees (2011), 90,000 contractors (2011)",,
0,Taco Bell,,"Downey, California

(March 21, 1962; 54 years ago (1962-03-21))","1 Glen Bell Way,
Irvine, California, U.S.",Subsidiary,"175,000+",,
0,Hollister Co.,,"July 27, 2000; 16 years ago (2000-07-27)[1]","New Albany, Ohio, U.S.",Division,,,
0,Wendy's,,"November 15, 1969; 46 years ago (1969-11-15)
Columbus, Ohio, U.S.","1 Dave Thomas Boulevard, Dublin, Ohio, United States",Subsidiary,"21,200 (Q4 2015[3])",,
0,H&R Block,,"1955; 61 years ago (1955)
Kansas City, Missouri, U.S.","Kansas City, Missouri, U.S.",Public,"2,200 (April 2015)",,
0,Johnson & Johnson,,"New Brunswick, New Jersey, United States
(1886; 130 years ago (1886))","One Johnson & Johnson Plaza, New Brunswick, New Jersey, United States",Public,"127,100 (2015)[1]",,
0,Domino's,,"June 10, 1960; 56 years ago (1960-06-10)
Ypsilanti, Michigan, U.S.","Domino Farms Office Park
Ann Arbor Charter Township, Michigan, United States",Public,"260,000 (2015)[2]",,
0,Express Scripts,,"St. Louis, Missouri (1986)","St. Louis, Missouri, U.S.","Public
S&P 500 Component","25,900 (2015)[2]",,
0,ARAMARK,,1959 (as Automatic Retailers of America),"Aramark Tower
Philadelphia, Pennsylvania, U.S.",Public,"216,000 (2015)[1]",,
0,Humana,,"Louisville, Kentucky (1961)","Humana Building
Louisville, Kentucky, United States",Public,"52,000 (1Q 2014)[3]",,
0,AIG,,"New York, United States
1919; 97 years ago (1919)[1]","New York City, New York, United States",Public," 65,000 approx. (2014)[4]",,
0,Walt Disney Company,,"October 16, 1923; 92 years ago (1923-10-16)
Los Angeles, California, United States[1]","500 South Buena Vista Street,
Burbank, California, United States",Public,"180,000 (2014)[3]",,
0,Farmers Insurance Group,,1928 (1928) (Los Angeles)[1],"4680 Wilshire Boulevard
Los Angeles, California, United States",,,,
0,SolarCity,,"July 4, 2006; 10 years ago (2006-07-04)","San Mateo, California, U.S.",Public company,"13,000",,
0,UBS,,1862; 154 years ago (1862),"Zürich
Basel","Aktiengesellschaft (AG)
Public company", 60.099 (2015)[2],,
0,Applebee's,,"November 19, 1980; 35 years ago (1980-11-19)
Decatur, Georgia, U.S.[1]","Kansas City, Missouri, U.S.",Wholly owned subsidiary,"28,000 (2013)[4]",,
0,Bed Bath & Beyond,,"1971; 45 years ago (1971) (as Bed 'n Bath)
Springfield, New Jersey, U.S.","Union, New Jersey
United States",Public,"58,000 (2014)[2]",,
0,VMware,Acquired by EMC,"October 26, 1998; 17 years ago (1998-10-26)
Palo Alto, California, U.S.",,Public,,,
0,Salesforce,,1999; 17 years ago (1999),"The Landmark
San Francisco, California, U.S.",Public,"19,000 (2015)[1]",,
0,Merrill Lynch,,1914,"250 Vesey Street
New York City
United States",Division[1],"15,100 (Financial Advisors 2010)",,
0,MetLife,,"March 24, 1868; 148 years ago (1868-03-24)","


1095 Avenue of the Americas
New York City, New York, U.S.


",Public,"66,000 (2010)[1]:26",,
0,Sherwin-Williams,,"Cleveland, Ohio, United States (1866 (1866))","Cleveland, Ohio, U.S.",Public,"37,633[1] (Dec 2013)",,
0,American Red Cross,,,"Washington, D.C., U.S.",,,,
0,Citibank,,"June 16, 1812; 204 years ago (1812-06-16)","New York City, United States",Public company,,,
0,Wipro,,"29 December 1945
(Mumbai, Maharashtra)","Bangalore, Karnataka, India",Public,"173,863 (June 2016)[2]",,
0,CenturyLink,,1968[1],"Monroe, Louisiana, 
United States",Public," 43,000 (2015)[2]",,
0,Sodexo,,1966; 50 years ago (1966),"Issy-les-Moulineaux, France",Société Anonyme,"413,000 (2011)[1]",,
0,Banana Republic,,"1978; 38 years ago (1978)
Mill Valley, California, U.S.","San Francisco, California, U.S.",Division,,,
0,General Motors,,"September 16, 1908; 107 years ago (1908-09-16) (as General Motors Corporation)
August 11, 2009 (2009-08-11) (as General Motors Company)[1]","Detroit, Michigan, U.S.",Public,"216,000 (2015)[2]",,
0,Symantec,,"March 1, 1982; 34 years ago (1982-03-01)
Sunnyvale, California, U.S.","350 Ellis Street, Mountain View, California, U.S.[1]",Public,"19,424 (2015)[3]",,
0,Kraft Heinz Company,,"July 2, 2015; 12 months ago (2015-07-02)[1]","Chicago and Pittsburgh, United States",Public,,,
0,Sephora,,1969[1],"Paris, France",Subsidiary,,,
0,Family Dollar Stores,,"1959 (1959) in Charlotte, North Carolina",,Subsidiary,,,
0,USAA,,"June 20, 1922; 94 years ago (1922-06-20)","San Antonio, Texas
United States",Reciprocal," 28,200 (2015)[3]",,
0,Buffalo Wild Wings,,"1982; 34 years ago (1982)
Columbus, Ohio, U.S.","Minneapolis, Minnesota, U.S.",Public,,,
0,Schlumberger,,1926 in France,"Principal executive offices:
Paris, France
Houston, Texas, US
London, UK
The Hague, Netherlands;
Legal domicile:
Willemstad, Curaçao, Kingdom of the Netherlands",Naamloze vennootschap (Dutch public company),"100,000",,
0,University of Michigan,,,,"Flagship
Public
Sea grant
Space grant",,,
0,FedEx Ground,,"1985 as RPS; Merged with Federal Express in 1998, rebranded as FedEx Ground in 2000","Moon Township, Pennsylvania",Subsidiary,"More than 65,000 employees and independent contractors (June 2010)",,
0,NetApp,,1992; 24 years ago (1992),"495 East Java Drive
Sunnyvale, California, USA",Public,"12,030 (2016)[2]",,
0,New York Life,,1845,"New York Life Building
New York City, New York, U.S.",Mutual,"12,000 (2014)",,
0,CarMax,,September 1993; 22 years ago (1993-09) (as a subsidiary of Circuit City),"Goochland County, Virginia (Richmond mailing address)",Public,"~22,000 (2015)[1]",,
0,Robert Half,,New York City (March 1948 (1948-03)),"Menlo Park, CA, United States",Public,"16,100 (2015)",,
0,SunTrust,,1985; 31 years ago (1985),"SunTrust Plaza
Atlanta, Georgia, U.S.",Public,"26,281 (12/31/2013)",,
0,Pfizer,,1849; 167 years ago (1849),"New York City, United States",Public,"78,300 (2015)[2]",,
0,eBay,,"September 3, 1995; 20 years ago (1995-09-03) (as AuctionWeb)","2145 Hamilton Avenue
San Jose, CA 95125
United States",Public,"34,600 (2015)[2]",,
0,OfficeMax,Merged with Office Depot,"April 1, 1988; 28 years ago (1988-04-01)
Cleveland, Ohio, U.S.","6600 North Military Trail
Boca Raton, Florida, U.S. 33449","Subsidiary
Brand",,,
0,Motorola Mobility,,"January 4, 2011; 5 years ago (2011-01-04)","Merchandise Mart
Chicago, Illinois, U.S.",Subsidiary,"3,466 (Q3 2014)[1]",,
0,Chili's Grill and Bar,,"March 13, 1975; 41 years ago (1975-03-13)","6820 LBJ Freeway
Dallas, Texas, U.S. 75240",Wholly owned subsidiary,,,
0,Meijer,,"Greenville, Michigan (1934)","Walker, Michigan, U.S. (Grand Rapids, Michigan mailing address)",Private,"72,200",,
0,Hilton Worldwide,,"May 31, 1919; 97 years ago (1919-05-31) (as Hilton Hotels Corporation)
Cisco, Texas, U.S.","Tysons Corner, Virginia, United States",Public,"164,000 (2015)[3]",,
0,Halliburton,,"1919, Duncan, Oklahoma, USA[2]","Houston, Texas, USA",Public,"70,000 [5]",,
0,Cracker Barrel,,"September 19, 1969 (1969-09-19)","Lebanon, Tennessee, United States",Public,"70,000",,
0,Aflac,,"June 23, 1955; 61 years ago (1955-06-23)","Aflac Building
Columbus, Georgia, U.S.",Public,"9,235 (December 2014)[2]",,
0,Menards,,1960; 56 years ago (1960),"Eau Claire, Wisconsin",Private company,"45,000",,
0,AlliedBarton,,"1957
Pittsburgh, Pennsylvania, USA","Conshohocken, Pennsylvania, USA",Private,,,
0,AutoZone,,"July 4, 1979; 37 years ago (1979-07-04) (as Auto Shack)
Forrest City, Arkansas, U.S.","Memphis, Tennessee, U.S.",Public,"70,000 (August, 2012)[4]",,
0,Advance Auto Parts,,"April 29, 1932; 84 years ago (1932-04-29)","Roanoke, Virginia, U.S.",Public,"74,000 - January 2015",,
0,Brookdale Senior Living,,1970s,"Brentwood, Tennessee, United States of America",,,,
0,TJ Maxx,,1976; 40 years ago (1976),"Framingham, Massachusetts, United States",Subsidiary,,,
0,Trader Joe's,,"1958; 58 years ago (1958) (as Pronto Market)
1967 (1967) (as Trader Joe's)
Pasadena, California, U.S.","Monrovia, California, US",Private,"10,000+[3]",,
0,HSBC Holdings,,"


First established on 3 March 1865; 151 years ago (1865-03-03) in Hong Kong[1] (as The Hongkong and Shanghai Bank)
First incorporated on 14 August 1866; 149 years ago (1866-08-14)[2](as The Hongkong and Shanghai Banking Corporation)
25 March 1991; 25 years ago (1991-03-25)[1][3] (as HSBC Holdings plc, as parent holding company to the entity in Hong Kong now as a subsidiary)


","HSBC Tower, London",Public limited company,"266,273 (2014)[4]",,
0,AECOM,,1990,"Los Angeles, California",Public,"approx. 95,000 [3]",,
